CardSort_Unadj,Flanker_Unadj,ProcSpeed_Unadj,WM_Task_2bk_Acc,ListSort_Unadj,PicSeq_Unadj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,AngAffect_Unadj,FearAffect_Unadj,Sadness_Unadj,Relational_Task_Match_Median_RT,Relational_Task_Rel_Median_RT,PicVocab_Unadj,ReadEng_Unadj,Language_Task_Story_Avg_Difficulty_Level,VSPLOT_CRTE,IWRD_RTC,SCPT_TPRT,Endurance_Unadj
119.14,130.42,138.72,83.507,112.89,125.07,20,0,18574.5,54.8,63.3,55,1430,1745.75,119.8914,113.546,9.071,1247.5758,1475,520,123.31
123.75,112.56,122.65,77.083,108.06,110.61,17,2,11839,46.9,53.9,53.4,1385.5,2145,107.2,111.07,9.607,834.3,1442,412,114.05
111.14,121.18,107.08,92.708,108.06,125.71,7,12,3042,50.6,55.1,49.9,1347,2311.5,134.24,131.81,10.482,900.2857,1450.75,468,121
129.84,126.53,111.11,96.181,117.39,109.04,23,0,12280,47.5,49.6,44.2,1477,1918.5,140.8151,141.3166,12.446,608.0952,1240,465,107.24
105.19,101.85,90.59,58.681,93.9,84.68,11,8,6569,59,49.3,48.7,1276.5,1732.25,95.42348,113.5374,11.393,1129.7084,1579.5,440,81.58
99.76,113.67,105.28,92.535,117.39,102.89,15,4,12558,38.3,43.3,38.5,1501.5,1316.5,123.3551,106.9173,9.375,928.9026,1248,471,91.04
102.83,111.75,91.68,72.396,121.89,118.8,20,0,22781.5,39.1,44.9,51,1791,2932.25,116.52,110.8,6.304,1520.091,1530.25,545,108.87
102.84,86.31,60.09,86.111,112.89,116.13,18,1,26980,51.8,49.3,49.9,1328,2156,121.2287,124.8705,10.75,1085.8572,1337.5,515,108.66
107.69,103.86,97.15,89.931,126.18,110.7,21,0,16468,50.1,49.6,45.8,1379.5,1940.5,123.1029,118.7641,11.518,1040,1600,460,107.03
101.41,95.94,100.29,85.069,130.38,103.28,15,4,7730,44.8,52,44.7,1569.5,2665.25,124.138,127.1703,12.286,940.625,2020,480,112.07
107.52,102.76,110.41,83.681,112.89,92.36,17,2,7301,44.2,49,41.7,1389.25,1969.5,108.83,111.35,10.607,1280.8,1388.75,530.5,108.1
107.93,101.75,107,78.472,117.39,101.01,16,3,12518.5,49.8,52.9,49.9,1478.75,2717.75,130.89,120.49,10.107,2770.1428,1459,488,100.99
119.59,115.12,134.82,93.75,108.06,135.55,23,0,12040,48.4,51.2,43.9,1310.5,1866.75,124.514,128.4841,11.661,960,2027.5,490,113.29
101.87,97.68,90.22,87.5,112.89,125.71,21,0,33614,42.8,51.4,41.9,1207,1804.5,115.13,130.17,11.929,1460.125,2065,460,103.15
109.62,106.14,103.91,90.972,126.18,110.7,22,0,20070,51.8,51.2,55,1812.5,1994,121.81,119.17,11.786,1215.4135,1610.5,499.5,112.05
143.94,115.04,121.22,97.569,121.89,125.07,22,0,11795,46.2,44.3,41.7,1419,2242,120.2309,125.504,10.607,913.2727,1550,430,119.49
109.81,112.7,76.8,93.576,117.39,115.73,22,0,34943.5,41.9,49.6,39.1,1946.75,2691,114.8966,129.6218,9.179,2431.0269,1607.5,480,107.64
111.97,113.61,116.45,91.319,108.06,111.46,22,0,27052.5,46,49.6,48.1,1772.5,2299,115.38,117.37,10.964,1410.3889,1570.75,480,110.37
128.03,113.89,94.79,88.715,104.06,135.55,24,0,30114.5,57,61.5,63.4,1665.25,2283,126.34,131.75,9.839,1303.7142,1696.25,512.5,130.75
124.39,113.07,145.54,93.75,133.93,112.39,23,0,27636,32,47.2,45.7,1764.5,2099.5,125.0447,135.9465,11.929,2349.8572,2102.5,450,107.42
114.82,111.44,121.22,93.576,130.38,135.55,22,0,12856,47.7,42.6,49.4,1324,1748.5,123.0852,119.5151,11.536,605.07935,1162.5,410,131.88
103.3,101.57,115.83,81.076,108.06,104.47,10,9,3890,48,46.7,41.7,1445,2104,121.8928,120.6881,11.25,804.2857,1297.5,470,92.16
115.07,126.63,127.84,95.139,130.38,135.55,23,0,23690,47.7,49.6,43.6,1205.5,2265.75,128.4,123.78,12.161,1630.2858,1347.5,440,105.37
114.79,126.11,128.25,98.785,137.98,111.46,24,0,25985,45.1,51.2,39.6,1351.5,2172.5,133.0329,134.8629,12.143,950,1620,500,122.41
122.44,116.83,113.4,96.181,117.39,108.93,21,0,13475,46.5,49,45,1458.5,2043.5,115.7674,110.5715,12,959.0625,1548,478,102.42
109.98,118.42,113.4,96.181,144.5,135.55,22,0,18938.5,48.2,53.9,46.1,1164.5,1871.75,127.3699,124.2336,10.875,1126.1488,1235,410,116.29
119.66,121.42,119.54,92.535,108.06,135.55,13,6,3750,47.1,46,45.6,1576.75,2728.25,111.61,115.11,11.732,800.86365,2015,480,103.35
93.21,96.17,86.59,68.403,100.43,103.28,18,1,14840,46.1,45.3,48.1,1845,2008.5,106.37,103.24,7.911,1061.5278,1827.5,530,92.97
102.62,105.22,113.22,72.569,100.43,86.16,20,0,28106,64.7,70.4,65.8,1442.5,1965.25,118.8,119.15,9.821,1104.7222,1618.5,450,110.45
125.37,118.25,122.73,91.146,121.89,104.53,16,3,13610,44.2,49,34.2,1245.5,1900.5,126.18,125.44,11.232,1000.5446,1396.25,421,137.52
110.78,94.58,89.64,78.646,130.38,109.47,17,2,14389,33.6,42.6,34.2,1232,1362.75,121.337,121.6983,9.732,1266.125,1574.75,470,115.8
124.54,127.2,86.86,84.896,112.89,110.7,20,0,18051,57.3,55.7,49.9,1475.5,2448,153.0889,118.366,12.429,1260.1,1204.75,420,100.97
117.23,113.67,118.64,82.465,108.06,125.71,17,2,14810,32,52.9,34.2,2075,2304.5,107.67,96.09,9.339,867.2946,1824.5,453,96.43
136.1,128.39,114.75,81.25,104.06,100.97,13,6,7141,56.8,57.7,60.5,1607,2538.25,109.41,119.01,9.286,817,1775,495,98.91
117.26,119.81,121.23,97.396,108.06,108.29,17,2,5802,44.2,41.2,34.2,1447,2097.5,146.9198,123.8282,12.018,778.5455,1368.75,408,102.54
103.46,109.37,113.4,81.25,104.06,118.7,21,0,17190,28.6,46,34.2,1209.5,2069.5,123.1805,120.0745,10.232,911,1490,410,120.19
112.42,115.73,110.12,78.299,108.06,101.78,18,1,26505,49.8,58,49.9,1735.75,2363.5,121.6903,113.6531,8.232,1075.2417,2040,570,115.63
100.45,116.96,111.11,70.66,100.43,109.4,11,8,6360,52.2,56,43.4,1905.25,2515.25,118.6195,103.4653,9.321,920,1452.5,530,111.08
111.59,104.78,104.06,91.146,130.38,125.71,17,2,20560,47.5,41.5,51.3,1219.5,2414,123.8164,116.5932,12.446,911.1111,1520,460,105.02
121.37,142.11,128.55,90.972,130.38,109.04,17,2,9858,63.9,58.3,53.5,1165.5,2050.25,120.31,128.18,11.333,790.9318,1232,500,133.42
104.6,92.15,112.27,88.715,117.39,125.71,20,0,14194.5,40.1,45.7,49.9,1420.25,2242.5,104.8695,128.293,11.036,1449.5673,1495,430,115.43
109.35,105.31,111.93,88.542,112.89,105.09,15,4,11902,52.1,54.2,48.2,1413,1536.5,128.7,121.12,10.321,1376.5,1977.25,444,109.63
122.39,109.58,118.78,90.104,133.93,135.55,15,4,11091,50.9,46,45.8,1605.25,2357,111.37,106.78,10.679,960,1978,520,89.53
119.5,111.98,124.27,92.535,112.89,135.55,21,0,17030,35.6,32.9,34.2,1422,2127.25,116.0618,140.1555,11.714,1558.75,1805,500,101.01
107.97,102.27,121.22,63.021,117.39,122.66,13,6,5460,55.1,49,34.2,937,906.5,118.1519,117.8108,12.446,1006.36365,1425,440,113.29
110.9,117.4,111.11,89.757,104.06,93.97,15,4,13610,46.5,41.5,43.6,1457.5,2104.25,113.4061,119.2225,11.5,719.0909,1460,490,113.29
112.93,111.75,135.98,96.181,126.18,135.55,22,0,27420,47.1,50.2,45.7,1433.5,2198.75,123.072,141.0733,9.554,1966.1538,1510,460,124.92
128.04,123.46,144.47,61.806,93.9,100.18,10,9,5570,50,61.5,39.8,2036.5,1663.25,101.4302,102.2321,8.768,846.8125,1584.75,455,107.01
95.79,112.21,89.64,77.778,104.06,104.34,9,10,7340,45,46,51.2,2003.25,2397.5,92.84103,96.06393,10.804,980,1345,430,92.96
129.19,117.4,119.98,91.146,126.18,135.55,19,0,17030,41.5,48.7,43.6,1387.5,2026.75,113.7863,131.9735,12.161,1236.25,1500,540,138.04
119.18,103.76,122.72,87.326,126.18,107.69,23,0,23229,51.3,52.9,45.6,1226.5,2045.75,130.0459,122.475,10.464,1595.9176,1687,390,111.95
119.93,111.15,117.47,87.5,117.39,135.55,24,0,27219.5,47.5,35.9,42.3,1706.5,2417.25,118.64,122.45,8.321,829.38464,1579.5,499,101.59
99.85,105.22,105.27,79.34,96.99,84.68,12,7,4648.5,28.6,52.9,34.2,1412,2399.5,105.88,106.46,8.339,1358.2847,1711.5,468,98.91
101.68,94.38,104.06,82.292,108.06,109.02,13,6,10480,43.8,41.5,38.5,1408,1159.5,124.5602,124.5595,9.125,1073.9286,1502.5,470,92.16
123.11,108.46,99.14,79.861,91.07,105.63,16,3,12745,28.6,43.3,34.2,1126.5,1232.25,107.6174,103.085,8.321,1452.8572,1370,450,106.3
112.58,115.38,99.14,88.542,130.38,135.55,23,0,20480,39.7,43.3,34.2,1293,1887.5,124.5263,124.4669,12.571,1443.0555,1802.5,570,123.36
133.28,114.23,116.04,93.75,104.06,108.04,8,11,2580,61.5,55.5,50.8,1440.5,1505.5,118.67,108.8,8.393,1112.8392,1380,390,111.15
129.85,118.28,119.98,86.111,112.89,99.41,17,2,11560,52.3,73.4,69.5,1177,1988.75,135.6653,128.9936,11.643,1099.8572,1260,370,134.41
113.06,95.64,106.57,98.785,144.5,107.69,20,0,22365,45.6,36.5,34.2,1736,2026.25,130.3676,126.8451,11.714,1044.0834,1475,470,107.99
104.3,109.84,133.26,75,112.89,118.7,17,2,11761,54.3,61.6,53.3,1629,1984.5,105.9275,109.9567,9.036,1060,1565.25,470,93.31
114.39,108.82,115.39,84.896,121.89,121.82,22,0,18799,51.8,59.8,48.2,1089,2061.25,126.2,123.53,10.089,1137,1325.75,443,108.42
98.53,96.05,85.34,78.472,100.43,106.6,12,7,13640,47.5,49,44.7,1527.75,2436.5,113.784,111.3651,8.446,1355,3097.5,540,108.57
118,93.8,100.04,64.062,108.06,112.39,21,0,20960,47.5,51.2,48.1,1461.5,1568.25,106.11,111,8.732,1305.875,1410,480,91
125.11,116.57,124.27,74.479,117.39,121.82,20,0,14375,47.5,53.7,51.2,1451.5,2326.25,123.2786,127.0684,8.625,1269.4445,1427.5,500,124.38
104.06,94.4,84.34,77.778,112.89,104.47,20,0,17810,40.6,49.3,45.8,1754.25,2053.5,119.6009,116.231,4.589,1069.2858,1587.5,475,110.76
108.85,112.89,112.98,78.299,104.06,90.25,11,8,3540,56.9,57.6,51.7,2076.5,2599.5,132.95,116.29,7.839,893.75,2065,570,98.2
103.09,105.76,97.38,83.681,117.39,120.32,18,1,31683,50.9,51.4,45,1861,1942.75,110.94,104.18,11.732,1638.4286,1662.5,460,102.33
110.18,114.15,110.6,79.34,108.06,92.5,16,3,10144.5,39.6,40,34.2,1775.5,2289.5,110.36,123.74,7.054,875.5357,1897.5,460,96.72
106.33,107.59,118.67,84.896,104.06,93.23,19,0,23838,50.3,54.4,53.3,1565.25,2329,115.7786,115.1137,11.589,1581.125,1575,490,125.1
85.37,118.28,133.26,88.889,104.06,105.6,15,4,14570,61.1,65.7,52.5,1243,1468,115.3583,126.7233,12.161,909.84125,2002.5,445,110.78
138.91,126.15,130.11,89.931,112.89,135.55,16,3,16645,39.7,49.9,44.8,1496,2553.75,103.19,124.01,10.464,1520,1165,430,110.51
110.66,109.58,115.67,67.188,93.9,96.55,18,1,10826.5,63.4,63.3,62.2,1548.5,2073.5,108.33,91.33,7.625,1205.7142,1404,484,97.9
118.76,122.27,131.64,92.361,144.5,107.51,13,6,7860,44.2,32.9,39.6,1349.25,2193.5,118.8523,111.6256,12.286,775.4545,1330,510,86.16
115.6,121.91,124.27,92.535,104.06,88.06,10,9,6405,47.5,51.2,55,1642.25,2143.5,128.207,120.9202,9.69,1106.2858,1500,470,92.16
104.48,97.65,106.57,89.931,133.93,135.55,23,0,30249,55.7,55.7,62.2,1384.5,2112.75,124.9112,130.1292,11.179,1760.375,1545,435,117.16
95.05,95.21,110.12,78.472,112.89,111.46,15,4,8939,57,47.2,43.8,1281.5,2053,117.5039,119.8836,9.708,792.8571,1790,425,102.24
125.65,125.34,109.66,93.75,112.89,118.8,13,6,6848,28.6,36.5,34.2,1316,1795.75,114.74,124.87,10.036,880.63635,1459,437.5,110.75
108.05,103.78,145.54,84.896,108.06,125.71,7,12,3170,55.6,51.2,44.7,902.5,808.25,104.2913,103.9257,9.518,815.875,1415,440,106.3
105.68,102.73,82.08,90.104,100.43,118.7,21,0,21731,53.4,53.7,46.1,1579.5,2537.25,108.9755,114.501,10.607,1442.5,2170,540,105
117.39,124.4,154.69,84.722,137.98,125.07,21,0,22490,50.6,58.3,45.6,1688,2144.5,112.7767,126.6443,10.536,921.1111,1107.5,420,107.03
118.32,104.59,115.83,67.188,100.43,103.93,21,0,13081,42.4,46.3,44.9,1443.75,2008.25,130.0463,108.5761,8.518,1247.0555,1610,500,124.43
110.69,105.76,107.8,88.542,117.39,104.47,21,0,20910,43.1,52.9,46.1,1579.5,1829.75,114.953,120.8579,10.75,1118.125,1432.5,510,104
107.36,107.28,108.79,79.861,112.89,97.92,14,5,4879.5,38.7,42.7,34.2,1595.5,1620.75,114.35,107.25,8.982,913,1572.75,508,94.95
123.05,115.38,106.57,61.285,112.89,113.72,14,5,9105,45.6,49.3,45.6,1598.5,1676.25,131.0498,141.8487,11.804,1140,1412.5,430,133.01
103.92,102.41,107.23,94.965,117.39,125.71,24,0,29616.5,46.8,42.5,41.8,1431.5,2029.75,122.85,122.54,10.821,1025.1428,1668.5,493,103.21
114.69,114.06,118.67,76.91,96.99,113.72,16,3,7839.5,59,59.8,53.3,1478,1372.75,112.3482,126.2477,9.054,1257,1630,510,100.1
99.11,99.94,102.91,82.292,108.06,118.7,20,0,21438.5,46.8,46,34.2,1264.5,1727,110.5733,106.3234,10.393,1011.6429,1607.5,490,103.02
131.62,125.19,135.98,93.75,108.06,108.93,22,0,24500,36.6,46,34.2,1239,1697.25,127.8275,129.4267,9.161,547,1360,500,136.55
114.75,122.53,97.15,73.09,108.06,92.14,20,0,18285,44.8,51.2,48.1,1414.5,1962.5,125.0839,130.3602,11.518,910,1560,510,134.39
119.16,112.21,150.84,98.785,126.18,135.55,22,0,17099.5,48.4,55.5,48.2,999,1250.75,130.8938,134.3721,5.732,1208.2386,1387.5,420,114.22
109.62,101.16,111.11,84.896,112.89,125.71,20,0,17241,49.1,43.3,44.7,1583,2231,117.4743,120.454,10.393,816.6667,1284.25,440,112.52
122.38,123.33,119.98,65.972,100.43,102.89,9,10,9650,45.9,50.4,51,1636,2219.25,96.3746,103.4482,9.804,1959,1655,490,107.57
119.87,119.25,118.67,88.542,93.9,135.55,11,8,4450,49.8,55.8,49.9,1290,2109.5,115.3752,120.7198,11.571,986.6875,1367.5,490,102.82
114.31,107.41,107.8,90.278,121.89,111.35,7,12,3150,42.7,52.9,45.6,1765,1895,119.9508,129.6218,10.375,1384.4445,1577.5,590,95.12
118.13,104.68,126.95,88.715,126.18,98.57,19,0,16380,62.7,71.4,62.4,1306.5,2662,127.6105,135.3573,9.839,864.2857,1315,530,107.88
118.01,113.97,138.72,87.326,112.89,103.93,21,0,28429,50.9,56.5,49.9,1624.5,1749.75,129.3487,129.1036,10.464,2353.2,1577.5,410,115.63
115.53,116.01,126.95,82.292,108.06,125.07,22,0,26735,44.6,37.2,51.2,1753.5,2295.75,127.1616,120.9043,9.536,1816.875,1745,480,105.75
104.42,115.04,112.32,86.285,100.43,101.01,18,1,11045,43,43.1,45.8,1762.5,2288.25,110.93,114.12,9.946,748.05554,1942.5,480,116.55
112.99,99.69,102.04,89.931,130.38,135.55,22,0,20348.5,42.8,49,44.8,1674,2111.5,115.45,123.49,12.446,1539.8572,1969.25,525,113.29
110.9,108.93,112.67,78.472,108.06,120.32,20,0,23689,44.8,44.3,49.9,1516.5,1832.25,105.06,112.07,8.821,1417.625,1345.5,470,81.43
105.29,110.84,96.06,90.104,93.9,113.72,19,0,15341,31.6,49,39.6,1700.5,2404.75,106.5826,94.09068,9.554,971.86804,1562.5,420,106.98
112.99,103.76,122.72,94.965,133.93,122.66,24,0,16624.5,52.8,51.2,48.1,1454.5,1827,120.4267,126.5055,12,1651.25,1877.25,450,113.29
115,107.48,122.72,91.146,100.43,109.96,12,7,6789,37.2,39.4,34.2,1398.5,1572,120.3347,126.3526,11.179,1135.5555,1400,479,109.6
117.29,110.78,110.12,96.181,104.06,110.7,23,0,30770,42.4,32.9,41.2,1147.5,1302.75,112.6015,112.8457,11.536,936.36365,1340,460,123.93
103.68,107.59,115.83,88.715,104.06,102.25,17,2,13660,65.5,55.1,56.2,1493.5,1311.25,105.6876,103.9233,9.179,1186.25,1445,470,103.34
118.91,96.18,125.64,89.757,108.06,100.97,21,0,14659,49.8,58.3,60.3,1453,2503.75,114.9569,112.4978,12.304,1334.7032,1207.5,470,107.09
125.17,120.56,120.27,83.681,108.06,135.55,16,3,13205,56.9,58,49.4,1815.25,2842.25,111.67,113.71,10.25,1700,1412.5,510,105.72
118.62,104.89,113.4,91.319,112.89,108.93,13,6,5459,54.7,53.9,52.7,1544.25,2363.75,113.0438,117.0778,11.786,618.125,1295,500,107.12
119.59,122.27,131.64,95.139,100.43,112.39,21,0,28811,44.9,58,49.8,1559.5,2680.5,113.4293,108.1692,11.071,1019.2308,1740,450,125.12
143.94,115.87,126.47,84.896,100.43,114.48,19,0,17025,47.5,49,46.1,1476.5,2079.75,113.88,116.59,11.393,1126.6414,1591,437,114.24
116.08,89.22,94.92,88.542,112.89,122.66,15,4,21090,47.5,42.9,42.5,1636.5,2737,100.952,107.58,12.304,1095.7142,1980,470,113.29
106.98,110.68,107.91,79.861,112.89,109.04,20,0,28947.5,45.6,49,41.2,1426,2050,130.9,118.87,10.839,753.2857,1126,407,97.06
118.74,114.61,107.8,95.139,112.89,104.95,24,0,19405,41.5,47.2,48.2,1578,2016,126.4815,121.9883,9.679,1257.5,1632.5,480,100.71
98.18,112.31,94.92,86.458,108.06,95.27,15,4,16520,59,52.9,49.9,1620.5,2602.75,109.9835,97.7005,9.804,1284.1428,1257.5,540,131.14
107.52,104.82,112.27,96.181,112.89,114.48,13,6,5100,46.5,49,42.5,1125.5,1269,109.5157,116.7144,9.679,980,1467.5,480,107.03
110.65,107.53,118.67,86.458,100.43,113.72,18,1,12580,49.5,52.1,43.3,1433,2200.5,126.1153,127.2036,9.071,1536.4286,1537.5,555,86.99
110.53,108.98,110.3,78.472,100.43,112,10,9,5058,52,51.4,44.7,1337,1612,105.69,107.91,7.286,1327,1695.5,455,109.72
130.78,108.82,106.57,86.111,112.89,118.8,22,0,24819,44.3,52.9,42.9,1850.75,2246.25,115.2631,121.1449,8.429,1115,2067.5,450,117.53
99.42,97.68,100.29,71.701,104.06,94.02,16,3,32410,54.1,60.5,53.3,2141.5,2304.5,99.81483,100.7036,7.018,1530.7291,3192.5,610,104.41
122.78,115.92,113.01,71.875,108.06,120.32,13,6,7751,42.7,47.3,34.2,1404,2209.75,117.46,114.3,10.607,1390.2598,1340,450,102.07
126.05,108.46,116.01,85.937,104.06,135.55,21,0,25748,44.3,51.2,42.6,1476,1897.75,117.41,110.89,9.464,1203.0178,1650,405.5,114.32
115.77,126.74,145.54,96.354,108.06,125.71,23,0,22780,50.1,49.6,50.9,1209,1303.75,128.1123,126.3766,11.214,641.4286,1235,465,143.52
101.18,101.82,104.24,87.5,108.06,91.62,8,11,3105,52.8,49.2,62.2,1427,2304,100.53,114.73,10.321,679,2145,440,116.84
123.13,111.89,115.83,81.944,133.93,103.25,21,0,13561,46,46.2,43.8,1475.5,2167,124.5884,122.7735,12.429,1134.2858,1587.5,465,115.31
112.65,114.61,151.81,81.076,96.99,135.55,22,0,18695.5,54.8,54.4,47.9,1608,2139,125.5795,118.9618,10.607,1107.1666,1300,430,102.8
112.84,99.19,125.64,90.104,108.06,105.63,13,6,6549,65.2,69,55,1311.5,1231.25,104.7913,108.0638,9.667,835.5625,1290,480,101.66
121.8,107.34,133.26,88.542,104.06,96.55,21,0,12617,47.5,46.7,43,1201.5,2155.5,117.5488,111.1091,11.786,1155.8,1529.5,490,95.47
103.17,99.77,126.95,85.937,104.06,101.57,23,0,22080,50.9,58.3,51.2,1786,2329.5,117.5291,119.0812,12.429,1648.7,1337.5,470,131.9
118.18,119.02,104.06,80.729,100.43,88.58,19,0,18980,51,54.4,49.9,1023.5,1289,122.1825,115.0681,10.089,803,1352.5,430,101.51
127.37,121.97,119.98,94.965,126.18,95.39,20,0,11230,69.1,59.8,65.7,1286,1646.5,127.8803,121.5229,8.518,1406.6666,1605,475,132.99
104.92,111.15,93.81,82.639,126.18,125.71,15,4,8550,46,60.7,48.1,1289,1764.25,125.42,121.3,9.304,1215.9148,1277.5,535,107.19
111.43,96.54,111.66,66.667,93.9,104.91,8,11,4875,28.6,32.9,34.2,1521,1988,92.47,108.16,8.333,1001.8182,1677.5,430,94.11
113.22,115.08,118.67,77.431,100.43,95.73,9,10,4220,48.5,32.9,34.2,1946.75,2522.5,119.4713,120.7051,12.571,922.9,1670,430,119.78
111.28,94.48,112.27,92.535,117.39,103.25,21,0,23530,37.9,49.3,34.2,980.5,1136.75,117.913,125.5651,10.179,1016.125,1760,430,106.3
116.47,101.27,104.06,75.868,100.43,102.89,6,13,2945,40.3,51.4,42.9,1243.5,1826.75,110.0955,100.4734,12.286,737.4375,1255,410,111.95
121.88,113.5,102.91,73.437,100.43,100.35,18,1,18205,47.8,56,55,1568.75,2961.25,112.0827,110.6315,10.732,1339.0278,2660,410,124.49
113.81,100.27,112.27,83.507,108.06,135.55,20,0,20610,48.7,43.7,46.1,1287.5,1930.75,126.4283,115.7193,10.786,754.5,1182.5,450,115.63
128.57,112.21,111.11,96.354,112.89,118.8,22,0,14940,55,55.8,55,1317.5,1771,123.2349,135.7199,12.571,1260.8334,1407.5,490,106.3
118,102.6,116.82,60.59,96.99,95.13,7,12,3147,55.8,52.9,43.3,1802.75,2003,126.33,130.74,9.607,859.5089,1365.75,450,105.42
111.36,116.43,117.2,79.688,96.99,94.1,18,1,25523.5,49,52.1,38.9,1839.25,2193,114.9241,119.141,9.304,1361.8365,1967.5,510,133.11
136.1,128.76,154.69,97.569,117.39,125.71,23,0,15890,49.9,57.7,54.3,1158.5,1461.75,137.4778,134.9019,12.429,636.25,1040,480,107.65
123.59,111.68,115.84,87.5,112.89,104.53,18,1,17136.5,45.6,44,48.1,1585.5,2424.25,116.69,118.4,10.679,1087.4286,1217,421,109.72
116.55,137.11,129.73,96.354,117.39,135.55,23,0,20514,48.1,55.8,43.5,1270.5,1886,125.62,135.81,11.661,1360.15,1247.75,451,126.18
120.61,112.75,108.54,91.146,100.43,103.28,10,9,4829.5,37.2,41.1,38.9,1410,1846.25,101.57,111.94,9.482,984.1667,2090,460,108.16
138.87,116.57,107.8,86.111,108.06,104.57,16,3,14245,44.2,50.8,49.4,1344,2095.25,110.8928,124.6814,11.25,1510,1647.5,450,122.41
122.09,104.54,100.57,84.722,108.06,100.18,20,0,20856,46.3,49.3,39,1728.5,2389.5,114.65,115.84,11.25,1147.7024,1693,490,129.11
128.57,106.29,122.72,86.111,108.06,135.55,19,0,13320,49.5,49,46.1,1455.5,1931.75,114.8708,124.5489,11.786,1381.875,1557.5,555,119.45
124.56,114.8,122.72,98.785,117.39,120.32,22,0,9455,59,53.7,48.2,1261.5,1603,129.4895,126.5796,12.304,936.4835,1475,510,131.3
